filename,channel_id,bias_voltage_V,frequency_hz,actual_fft_freq_hz,conductance_S,susceptance_S,impedance_real_Ohm,impedance_imag_Ohm,V_re_fft,V_im_fft,I_re_fft,I_im_fft,num_averaged
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.000000e+01,1.000000e+01,-1.726075e-09,-1.373567e-07,-1.196285e-02,9.320790e-01,1.200000e-04,0.000000e+00,-2.071290e-13,-1.648280e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.000000e+02,1.000000e+02,-1.699510e-08,-1.352427e-07,-1.173785e-01,9.320790e-01,1.200000e-04,0.000000e+00,-2.039412e-12,-1.622913e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.000000e+02,2.000000e+02,-3.247562e-08,-1.292164e-07,-2.345070e-01,9.320790e-01,1.200000e-04,0.000000e+00,-3.897074e-12,-1.550597e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.000000e+02,3.000000e+02,-4.534579e-08,-1.202834e-07,-3.516355e-01,9.320790e-01,1.200000e-04,0.000000e+00,-5.441494e-12,-1.443401e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.000000e+02,4.000000e+02,-5.512574e-08,-1.096692e-07,-4.687640e-01,9.320790e-01,1.200000e-04,0.000000e+00,-6.615089e-12,-1.316030e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,5.000000e+02,5.000000e+02,-6.188584e-08,-9.849437e-08,-5.858925e-01,9.320790e-01,1.200000e-04,0.000000e+00,-7.426301e-12,-1.181932e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,6.000000e+02,6.000000e+02,-6.603862e-08,-8.758645e-08,-7.030210e-01,9.320790e-01,1.200000e-04,0.000000e+00,-7.924635e-12,-1.051037e-11,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,7.000000e+02,7.000000e+02,-6.812826e-08,-7.744964e-08,-8.201495e-01,9.320790e-01,1.200000e-04,0.000000e+00,-8.175392e-12,-9.293957e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,8.000000e+02,8.000000e+02,-6.868823e-08,-6.832545e-08,-9.372780e-01,9.320790e-01,1.200000e-04,0.000000e+00,-8.242588e-12,-8.199054e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,9.000000e+02,9.000000e+02,-6.817220e-08,-6.027746e-08,-1.054406e+00,9.320790e-01,1.200000e-04,0.000000e+00,-8.180664e-12,-7.233295e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.000000e+03,1.000000e+03,-6.693510e-08,-5.326526e-08,-1.171535e+00,9.320790e-01,1.200000e-04,0.000000e+00,-8.032212e-12,-6.391832e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.100000e+03,1.100000e+03,-6.524020e-08,-4.719682e-08,-1.288663e+00,9.320790e-01,1.200000e-04,0.000000e+00,-7.828824e-12,-5.663618e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.200000e+03,1.200000e+03,-6.327565e-08,-4.196097e-08,-1.405792e+00,9.320790e-01,1.200000e-04,0.000000e+00,-7.593078e-12,-5.035316e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.300000e+03,1.300000e+03,-6.117227e-08,-3.744565e-08,-1.522920e+00,9.320790e-01,1.200000e-04,0.000000e+00,-7.340672e-12,-4.493478e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.400000e+03,1.400000e+03,-5.901888e-08,-3.354695e-08,-1.640049e+00,9.320790e-01,1.200000e-04,0.000000e+00,-7.082266e-12,-4.025634e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.500000e+03,1.500000e+03,-5.687435e-08,-3.017278e-08,-1.757177e+00,9.320790e-01,1.200000e-04,0.000000e+00,-6.824922e-12,-3.620733e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.600000e+03,1.600000e+03,-5.477654e-08,-2.724362e-08,-1.874306e+00,9.320790e-01,1.200000e-04,0.000000e+00,-6.573185e-12,-3.269234e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.700000e+03,1.700000e+03,-5.274887e-08,-2.469189e-08,-1.991434e+00,9.320790e-01,1.200000e-04,0.000000e+00,-6.329864e-12,-2.963027e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,1.800000e+03,1.800000e+03,-5.080480e-08,-2.246065e-08,-2.108563e+00,9.320790e-01,1.200000e-04,0.000000e+00,-6.096576e-12,-2.695278e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.000000e+03,2.000000e+03,-4.719024e-08,-1.877640e-08,-2.342820e+00,9.320790e-01,1.200000e-04,0.000000e+00,-5.662828e-12,-2.253168e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.100000e+03,2.100000e+03,-4.552152e-08,-1.724994e-08,-2.459948e+00,9.320790e-01,1.200000e-04,0.000000e+00,-5.462582e-12,-2.069993e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.300000e+03,2.300000e+03,-4.244982e-08,-1.468717e-08,-2.694205e+00,9.320790e-01,1.200000e-04,0.000000e+00,-5.093978e-12,-1.762460e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.400000e+03,2.400000e+03,-4.103908e-08,-1.360744e-08,-2.811334e+00,9.320790e-01,1.200000e-04,0.000000e+00,-4.924690e-12,-1.632893e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.600000e+03,2.600000e+03,-3.844555e-08,-1.176692e-08,-3.045591e+00,9.320790e-01,1.200000e-04,0.000000e+00,-4.613466e-12,-1.412031e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,2.800000e+03,2.800000e+03,-3.612569e-08,-1.026711e-08,-3.279848e+00,9.320790e-01,1.200000e-04,0.000000e+00,-4.335083e-12,-1.232053e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.000000e+03,3.000000e+03,-3.404526e-08,-9.030786e-09,-3.514105e+00,9.320790e-01,1.200000e-04,0.000000e+00,-4.085431e-12,-1.083694e-12,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.200000e+03,3.200000e+03,-3.217354e-08,-8.000904e-09,-3.748362e+00,9.320790e-01,1.200000e-04,0.000000e+00,-3.860825e-12,-9.601084e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.500000e+03,3.500000e+03,-2.969962e-08,-6.752631e-09,-4.099747e+00,9.320790e-01,1.200000e-04,0.000000e+00,-3.563955e-12,-8.103157e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,3.700000e+03,3.700000e+03,-2.824025e-08,-6.073750e-09,-4.334004e+00,9.320790e-01,1.200000e-04,0.000000e+00,-3.388830e-12,-7.288500e-13,1
test_0v0_FAKEDATA.npz,10,0.000000e+00,4.000000e+03,4.000000e+03,-2.629004e-08,-5.230237e-09,-4.685390e+00,9.320790e-01,1.200000e-04,0.000000e+00,-3.154805e-12,-6.276285e-13,1
