bandname,f0_design_hz,wx_mm,tone_freq_hz,autotune_id,dastard_id,umux_bondpad,pixel_number
band03a,5521000000.0,-8.8,,,,33,
band03b,5769000000.0,-8.25,,,,32,
band03a,5535000000.0,-7.700000000000001,,,,31,
band03b,5783000000.0,-7.15,,,,30,
band03a,5549000000.0,-6.6000000000000005,,,,29,
band03b,5797000000.0,-6.05,,,,28,
band03a,5563000000.0,-5.5,,,,27,1.0
band03b,5811000000.0,-4.949999999999999,,,,26,2.0
band03a,5577000000.0,-4.4,,,,25,3.0
band03b,5825000000.0,-3.8499999999999996,,,,24,4.0
band03a,5591000000.0,-3.3000000000000007,,,,23,5.0
band03b,5839000000.0,-2.75,,,,22,6.0
band03a,5605000000.0,-2.2,,,,21,7.0
band03b,5853000000.0,-1.6499999999999995,,,,20,8.0
band03a,5619000000.0,-1.0999999999999996,,,,19,9.0
band03b,5867000000.0,-0.5499999999999989,,,,18,10.0
band03a,5633000000.0,0.0,,,,17,11.0
band03b,5881000000.0,0.5500000000000007,,,,16,12.0
band03a,5647000000.0,1.0999999999999996,,,,15,13.0
band03b,5895000000.0,1.6500000000000004,,,,14,14.0
band03a,5661000000.0,2.1999999999999993,,,,13,15.0
band03b,5909000000.0,2.75,,,,12,16.0
band03a,5675000000.0,3.3000000000000007,,,,11,17.0
band03b,5923000000.0,3.8500000000000014,,,,10,18.0
band03a,5689000000.0,4.4,,,,9,19.0
band03b,5937000000.0,4.950000000000001,,,,8,20.0
band03a,5703000000.0,5.5,,,,7,21.0
band03b,5951000000.0,6.050000000000001,,,,6,22.0
band03a,5717000000.0,6.600000000000001,,,,5,
band03b,5965000000.0,7.150000000000002,,,,4,23.0
band03a,5731000000.0,7.699999999999999,,,,3,24.0
band03b,5979000000.0,8.25,,,,2,
band03a,5745000000.0,8.8,,,,1,
